nodes,noise,vs,p_pdr,p_delay,p_txrx
50,0.0,leach,0.007936507936507936,0.15079365079365079,0.007936507936507936
50,0.0,heed,0.007936507936507936,0.05555555555555555,0.007936507936507936
50,0.0,greedy,0.23809523809523808,0.23015873015873015,0.7063492063492064
50,0.2,leach,0.007936507936507936,0.873015873015873,0.007936507936507936
50,0.2,heed,0.007936507936507936,0.4523809523809524,0.007936507936507936
50,0.2,greedy,0.07142857142857142,0.2619047619047619,0.5079365079365079
100,0.0,leach,0.007936507936507936,0.007936507936507936,0.007936507936507936
100,0.0,heed,0.007936507936507936,0.007936507936507936,0.007936507936507936
100,0.0,greedy,0.023809523809523808,0.5,0.5793650793650794
100,0.2,leach,0.007936507936507936,0.023809523809523808,0.007936507936507936
100,0.2,heed,0.007936507936507936,0.49206349206349204,0.007936507936507936
100,0.2,greedy,0.1349206349206349,0.24603174603174602,0.7142857142857143
200,0.0,leach,0.007936507936507936,0.007936507936507936,0.007936507936507936
200,0.0,heed,0.007936507936507936,0.007936507936507936,0.007936507936507936
200,0.0,greedy,0.007936507936507936,0.031746031746031744,0.6190476190476191
200,0.2,leach,0.007936507936507936,0.007936507936507936,0.007936507936507936
200,0.2,heed,0.007936507936507936,0.007936507936507936,0.007936507936507936
200,0.2,greedy,0.007936507936507936,0.3412698412698413,0.5317460317460317
