config,nodes,rounds,comm_range,noise,trust_enabled,sod_enabled,attack_enabled,attack_types,attack_ratio,grayhole_p,sinkhole_bias,attack_start,attack_end,pdr_mean,delay_mean,hops_mean,tx_j_mean,rx_j_mean,cpu_j_mean,attack_active_rounds_mean,attack_compromised_mean,drop_blackhole_mean,drop_grayhole_mean,sinkhole_choices_mean,trust_updates_mean,malicious_detected_mean
attack_blackhole_20pct.json,50,120,30.0,0.0,True,True,True,blackhole,0.2,,,20,1000000000,0.3085715,0.0609945,3.1730005,0.29905525,0.5981696,0.07848,100.0,10.0,63.0,0.0,0.0,6000.0,262.0
attack_grayhole_50pct_p070.json,50,120,30.0,0.0,True,True,True,grayhole,0.5,0.7,,10,1000000000,0.2992855,0.060134,3.112616,0.29734395,0.5970944,0.07793,110.0,25.0,0.0,78.5,0.0,6000.0,260.5
attack_sinkhole_bias080_fixed_ids.json,50,120,30.0,0.0,True,True,True,sinkhole,0.1,,0.8,30,1000000000,0.3764285,0.060464,2.807483,0.30914955,0.5997824,0.08005999999999999,90.0,3.0,0.0,0.0,179.0,6000.0,173.0
attack_off_smoke.json,50,120,30.0,0.0,True,True,False,,0.0,,,0,0,0.3678575,0.05955,2.8019435,0.3111157,0.5998592,0.07997,0.0,0.0,0.0,0.0,0.0,6000.0,202.5
attack_off_trust_off_smoke.json,50,120,30.0,0.0,False,True,False,,0.0,,,0,0,0.3507145,0.058406,2.3947385,0.3150393,0.5953280000000001,0.07796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack_blackhole_10pct.json,50,120,30.0,0.0,True,True,True,blackhole,0.1,,,10,1000000000,0.3652858,0.061480900000000005,2.9654246,0.30548333000000005,0.59123968,0.079642,110.0,5.0,28.5,0.0,0.0,6000.0,194.4
attack_blackhole_30pct.json,50,120,30.0,0.0,True,True,True,blackhole,0.3,,,10,1000000000,0.3,0.0612553,3.3143711,0.2956281,0.58856192,0.077682,110.0,15.0,88.1,0.0,0.0,6000.0,199.2
attack_grayhole_50pct_p050.json,50,120,30.0,0.0,True,True,True,grayhole,0.5,0.5,,10,1000000000,0.3237143,0.061283,3.140899,0.29957721,0.58925312,0.07828399999999999,110.0,25.0,0.0,67.4,0.0,6000.0,195.0
attack_grayhole_50pct_p090.json,50,120,30.0,0.0,True,True,True,grayhole,0.5,0.9,,10,1000000000,0.27042869999999997,0.06153759999999999,3.5298676,0.28907983,0.5862527999999999,0.07636600000000002,110.0,25.0,0.0,120.8,0.0,6000.0,206.7
attack_sinkhole_bias050.json,50,120,30.0,0.0,True,True,True,sinkhole,0.1,,0.5,10,1000000000,0.3837142,0.0633982,3.0045680999999997,0.31450499,0.5953715199999999,0.081514,110.0,5.0,0.0,0.0,228.2,6000.0,160.7
attack_sinkhole_bias080.json,50,120,30.0,0.0,True,True,True,sinkhole,0.1,,0.8,10,1000000000,0.3835713,0.0634218,3.0066669999999998,0.31446736999999997,0.5953715199999999,0.081512,110.0,5.0,0.0,0.0,230.3,6000.0,160.6
attack_off_smoke.json,50,120,30.0,0.0,True,True,False,,0.0,,,0,0,0.3678575,0.05955,2.8019435,0.3111157,0.5998592,0.07997,0.0,0.0,0.0,0.0,0.0,6000.0,202.5
attack_off_smoke.json,50,120,30.0,0.0,True,True,False,,0.0,,,0,0,0.3871428,0.06273820000000001,2.9269269,0.31236437999999994,0.5935078399999999,0.080834,0.0,0.0,0.0,0.0,0.0,6000.0,185.9
