mode,proto,h,r,pdr,delay_s,ctrl_hello_sum,ctrl_routing_sum,ctrl_total_j,total_j,ctrl_percent
amp,etx,1,500,0.6,0.02,660,33,0.007558561792958919,0.02698886579295892,28.00622245834006
amp,etx,2,500,0.6,0.02,330,33,0.00441843321854287,0.02384873721854287,18.52690638524647
amp,etx,5,500,0.6,0.02,132,33,0.0025343560738932407,0.021964660073893243,11.538335058986531
amp,etx,10,500,0.6,0.02,66,33,0.0019063303590100306,0.02133663435901003,8.934541066478115
amp,etx,20,500,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,etx,25,500,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,etx,50,500,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,etx,100,500,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,etx,200,500,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,etx,500,1,0.6,0.02,33,660,0.008836372865806541,0.028266676865806542,31.26074178353689
amp,etx,500,2,0.6,0.02,33,330,0.005023712147786481,0.02445401614778648,20.543505481577984
amp,etx,500,5,0.6,0.02,33,132,0.0027361157169744446,0.022166419716974445,12.343516688349995
amp,etx,500,10,0.6,0.02,33,66,0.001973583573370432,0.021403887573370434,9.220678096935337
amp,etx,500,20,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,etx,500,25,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,etx,500,50,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,etx,500,100,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,etx,500,200,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,etx,500,500,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,etx,500,1000,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,etx,500,2000,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,etx,1000,500,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,etx,2000,500,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,trusthr,1,500,0.6,0.02,660,33,0.007558561792958919,0.02698886579295892,28.00622245834006
amp,trusthr,2,500,0.6,0.02,330,33,0.00441843321854287,0.02384873721854287,18.52690638524647
amp,trusthr,5,500,0.6,0.02,132,33,0.0025343560738932407,0.021964660073893243,11.538335058986531
amp,trusthr,10,500,0.6,0.02,66,33,0.0019063303590100306,0.02133663435901003,8.934541066478115
amp,trusthr,20,500,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,trusthr,25,500,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,trusthr,50,500,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,trusthr,100,500,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,trusthr,200,500,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,trusthr,500,1,0.6,0.02,33,660,0.008836372865806541,0.028266676865806542,31.26074178353689
amp,trusthr,500,2,0.6,0.02,33,330,0.005023712147786481,0.02445401614778648,20.543505481577984
amp,trusthr,500,5,0.6,0.02,33,132,0.0027361157169744446,0.022166419716974445,12.343516688349995
amp,trusthr,500,10,0.6,0.02,33,66,0.001973583573370432,0.021403887573370434,9.220678096935337
amp,trusthr,500,20,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,trusthr,500,25,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,trusthr,500,50,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,trusthr,500,100,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,trusthr,500,200,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,trusthr,500,500,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,trusthr,500,1000,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,trusthr,500,2000,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,trusthr,1000,500,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
amp,trusthr,2000,500,0.6,0.02,33,33,0.0015923175015684261,0.021022621501568427,7.574305142912974
