vs,metric,U,p_value
greedy,pdr_exp,1096.50,0.09669
greedy,delay_s,963.00,0.002674
greedy,txrx_data,1018.50,0.03014
greedy,total_energy,1322.50,0.8479
leach,pdr_exp,277.00,2.771e-12
leach,delay_s,349.50,3.538e-12
leach,txrx_data,365.50,1.422e-10
leach,total_energy,1265.50,0.5739
heed,pdr_exp,549.00,1.784e-07
heed,delay_s,487.00,1.191e-09
heed,txrx_data,512.00,4.731e-08
heed,total_energy,1288.00,0.6773
pegasis,pdr_exp,0.00,1.501e-18
pegasis,delay_s,52.00,2.03e-18
pegasis,txrx_data,103.00,4.663e-16
pegasis,total_energy,1092.00,0.09097
etx,pdr_exp,1346.00,0.9689
etx,delay_s,1273.00,0.4447
etx,txrx_data,1274.00,0.612
etx,total_energy,1347.00,0.9741
