proto,h,r,pdr,delay_s,ctrl_percent
etx,200,200,0.6,0.02,7.574305142912974
etx,200,500,0.6,0.02,7.574305142912974
etx,200,1000,0.6,0.02,7.574305142912974
etx,500,200,0.6,0.02,7.574305142912974
etx,500,500,0.6,0.02,7.574305142912974
etx,500,1000,0.6,0.02,7.574305142912974
etx,1000,200,0.6,0.02,7.574305142912974
etx,1000,500,0.6,0.02,7.574305142912974
etx,1000,1000,0.6,0.02,7.574305142912974
trusthr,200,200,0.6,0.02,7.574305142912974
trusthr,200,500,0.6,0.02,7.574305142912974
trusthr,200,1000,0.6,0.02,7.574305142912974
trusthr,500,200,0.6,0.02,7.574305142912974
trusthr,500,500,0.6,0.02,7.574305142912974
trusthr,500,1000,0.6,0.02,7.574305142912974
trusthr,1000,200,0.6,0.02,7.574305142912974
trusthr,1000,500,0.6,0.02,7.574305142912974
trusthr,1000,1000,0.6,0.02,7.574305142912974
