router,sod,seed,total_energy,final_alive,avg_sod_ratio
aco,off,0,0.35414988975811923,30,1.0
aco,off,1,0.39108245302731426,30,1.0
aco,off,2,0.3417706369050565,30,1.0
aco,on,0,0.07811774257777405,30,0.1922222222222222
aco,on,1,0.07597199845904441,30,0.1788888888888889
aco,on,2,0.07241279063301438,30,0.1938888888888889
baseline,off,0,0.35414988975811923,30,1.0
baseline,off,1,0.39108245302731426,30,1.0
baseline,off,2,0.3417706369050565,30,1.0
baseline,on,0,0.07811774257777405,30,0.1922222222222222
baseline,on,1,0.07597199845904441,30,0.1788888888888889
baseline,on,2,0.07241279063301438,30,0.1938888888888889
