k,W,delta_day,delta_night,seed,total_energy,avg_sod_ratio
0.5,12,0.2,0.1,0,0.23700531477720763,0.6672222222222222
0.5,12,0.2,0.2,0,0.23700531477720763,0.6672222222222222
0.5,12,0.5,0.1,0,0.23700531477720763,0.6672222222222222
0.5,12,0.5,0.2,0,0.23700531477720763,0.6672222222222222
0.5,24,0.2,0.1,0,0.20054760958031503,0.5455555555555556
0.5,24,0.2,0.2,0,0.1960867421469404,0.5444444444444444
0.5,24,0.5,0.1,0,0.20054760958031503,0.5455555555555556
0.5,24,0.5,0.2,0,0.1960867421469404,0.5444444444444444
1.5,12,0.2,0.1,0,0.09636166045030785,0.25
1.5,12,0.2,0.2,0,0.09636166045030785,0.25
1.5,12,0.5,0.1,0,0.09636166045030785,0.25
1.5,12,0.5,0.2,0,0.09636166045030785,0.25
1.5,24,0.2,0.1,0,0.07908234089540161,0.19333333333333333
1.5,24,0.2,0.2,0,0.07811774257777405,0.1922222222222222
1.5,24,0.5,0.1,0,0.07908234089540161,0.19333333333333333
1.5,24,0.5,0.2,0,0.07811774257777405,0.1922222222222222
